" The customer doesn't exist in the system anymore"," العميل غير موجود في النظام بعد الان"
"""%s"" coupon code is not valid.","""%s"" كود الكوبون غير صحيح."
"%s order(s) succesfully released from holding status","%s من اجل بنجاح اطلاق سراحهم من عقد المركز"
"%s order(s) successfully put on hold","%s تم وضع الامر في الامساك بنجاح"
"%s order(s) succesfully canceled","%s تم الغاء الامر بنجاح"
"<span style=""color:red"">Warning: when catalog prices include tax, should be set to ""No""</span>","<span style=""color:red"">تحذير: عندما كاتلوج الاسعار يحتوي على الضريبة, يجب ان يضع في  ""لا""</span>"
"<span style=""color:red"">Requires Tax Based On Shipping Origin</span>","<span style=""لون:احمر"">يتطلب ضريبة على اساس الاصل النقل البحري</span>"
"G.T. (Base)","G.T. (قاعدة)"
"G.T. (Purchased)","G.T. (اشتري)"
"PDF Invoices","PDF فواتير"
"PDF Credit Memos","PDF مذكرات ائتمانية"
"PDF Packingslips","PDF زلة تعبئة"
"QTY","QTY"
"Qty","Qty"
"Qty Invoiced","Qty فاتورة"
"Qty to Invoice","Qty للفاتورة"
"Qty To Add","Qty للاضافة"
"Invalid qty to invoice item ""%s""","Qty الفاتوره غير صالحة لهذا البند ""%s"""
"Invalid qty to ship for item ""%s""","Qty الى السفينة غير صالحة للالبند ""%s"""
"Qty Canceled","Qty الغية"
"Qty Ordered","Qty امر"
"Qty Shipped","Qty شحنه"
"Invalid qty to refund item ""%s""","Qty غير صالحة لاعادة البند ""%s"""
"SKU","SKU"
"Sku","Sku"
"Invoices","فواتير"
"Invoice email not sent","فاتوره لم ترسل البريد الألكتروني"
"Invoice capture error","فاتوره الاستيلاء على خطأ"
"Invoice Comment Email Template","فاتوره التعليق قالب البريد الالكتروني"
"Invoice Comment Email Sender","فاتوره التعليق البريد الالكتروني للمرسل"
"Invoice Comment Email Template for Guest","فاتوره التعليق البريد الالكتروني نموذج للضيف"
"Invoice and shipment was successfully created.","فاتوره الشحن ونجحت عملية انشاء."
"Invoiced","فاتورة"
"Invoice","فاتورة"
"Invoice # ","فاتورة # "
"Invoice #","فاتورة #"
"Invoice #%s","فاتورة #%s"
"Invoice Email Template","فاتورة قالب البريد الالكتروني"
"Invoice Email Sender","فاتورة البريد الالكتروني المرسل"
"Items Invoiced","فاتورة العناصر"
"Bill to Name","فاتورة بالاسم"
"Bill to Last name","فاتورة بالاسم الاخير"
"Bill to First name","فاتورة بالسم الاول"
"New Invoice","فاتورة جديدة"
"New Invoice for Guest","فاتورة جديدة لزائر"
"Action","فعل"
"Hold action is not available","فعل الامساك ليس مسموح"
"separate by "",""","فصل بواسطة"","""
"Coupons","كوبونات"
"Discount Amount","كمية الخصم"
"Refund Amount","كمية الرد"
"Shipping Amount","كمية الشحن"
"Tax Amount","كمية الضريبة"
"State/Province","ولاية/مقاطعة"
"Tax Class for Shipping","وضع الضريبة في الشحنه"
"Custom Value","قيمة مخصصة"
"Shipment Email Template","قالب البريد الالكتروني للشحنه"
"Shipment Email Template for Guest","قالب البريد الالكتروني للشحنه للزائر"
"Wishlist","قائمة الأمنيات"
"Order was not put on hold.","لم يتم وضع الامر في الامساك."
"Order was not unholded.","لم يتم وضع الامر في الامساك."
"Order was not cancelled.","لم يتم إلغاء طلب الشراء."
"No items","لا يوجد سلع"
"No Payment Methods","لا يوجد طرق للدفع"
"Can not do credit memo for order","لا يمكن فعل مذكرة ائتمانية للامر"
"Comment text field can not be empty.","لا يمكن أن يكون حقل التعليق فارغا."
"Can not send shipment information.","لا يمكن إرسال بيانات الشحن."
"Can not add new comment.","لا يمكن إضافة تعليق جديد."
"Can not add tracking number.","لا يمكن إضافة رقم تعقب."
"Can not register existing shipment","لا يمكن التسجيل في الشحنع الموجوده"
"Can not register existing invoice","لا يمكن التسجيل للفاتورة الموجوده"
"Can't get order instance","لا يمكن ان تحصل من اجل المثال"
"Can not create block ""%s""","لا يمكن انشاء مساحة ""%s"""
"Can not retrieve tracking number detail.","لا يمكن استرجاع تفاصيل رقم الشحنه."
"Can not add order history.","لا يمكن اضافة تاريخ الامر."
"Can not initialize shipment for adding tracking number.","لا يمكن تهيئة شحن تتبع لإضافة رقم الشحنه."
"Can not initialize shipment for delete tracking number.","لا يمكن تهيئة شحن تتبع لحذف رقم الشحنه."
"Can not load track with retrieving identifier.","لا يمكن تحميل المسار مع استرجاع المعرف."
"Can not update item qty","لا يمكن تحديث كمية السلعة"
"Can not register existing creditmemo","لا يمكن تسجيل الإئتمان القائمة المذكره"
"Can not save invoice","لا يمكن حفظ الفاتورة"
"Can not save credit memo","لا يمكن حفظ المذكرة الائتمانية"
"Can not save shipment.","لا يمكن حفظ الشحن."
"Can not delete tracking number.","لا يمكن حذف رقم تعقب."
"Can not do shipment for order.","لا يمكن شحن الامر."
"Can not do invoice for order","لا يمكن عمل فاتورة للامر"
"There are no printable documents related to selected orders","لا توجد للطباعة الوثائق ذات الصلة اوامر مختارة"
"No detail for number ""%s""","لا توجد تفاصيل للرقم""%s"""
"You need specify carrier.","لابد من تحديد الناقل."
"SOLD TO:","لبيع:"
"Email Copy of Invoice","نسخة البريد الالكتروني للفاتورة"
"Email Copy of Credit Memo","نسخة البريد الالكتروني للمذكرة الائتمانية"
"Email Copy of Shipment","نسخة البريد الالكتروني للشحنه"
"Comment Text","نص التعليق"
"Are you sure you want to cancel this order?","هل أنت متأكد أنك تريد إلغاء طلب الشراء هذا؟"
"Are you sure?","هل أنت متأكد؟"
"Are you sure? This order will be cancelled and a new one will be created instead","هل أنت متأكد؟ سيتم إلغاء هذا الطلب وإنشاء طلب شراء جديد بدلا عنه"
"Gift","هدية"
"Credit Memo Comments","ملاحظات المذكرة الائتمانية"
"Order Comments","ملاحظات الامر"
"Shipment Comments","ملاحظات الشحنة"
"Order Comment","ملاحظة الامر"
"From","من"
"Please select products to add","من فضلك اختر منتجات لإضافتها"
"Please select a store","من فضلك اختر متجرا"
"Please select a customer","من فضلك اختر عميلا"
"Order Update (Credit Memo)","من أجل تحديث (مذكرة الائتمان)"
"From Name","من الاسم"
"Subscribe to Order Status","من اجل الاشتراك في حالة"
"Send Order Comment Email Copy To","من اجل ارسال نسخة منها الى البريد الالكتروني التعليق"
"From:","من:"
"Track this shipment","متابعة هذه الشحنه"
"Track Order","متابعة الامر"
"Track all shipments","متابعة جميع الشحنات"
"Track all shipment(s)","متابعة جميع الشحنات(s)"
"Track your order","متابعة طلبك"
"Same As Billing Address","مثل عنوان الفاتورة"
"Total Qty","مجموع Qty"
"Total Paid","مجموع المدفوعات"
"Total Refund","مجموع الرد"
"Total Refunded","مجموع الردود"
"Row Total","مجموع الصف"
"Total(ex)","مجموع(ex)"
"Total(inc)","مجموع(inc)"
"Customer Group","مجموعة العملاء"
"Mixed","مختلط"
"Paid","مدفوع"
"Credit Memo","مذكرة الائتمان"
"Credit Memo # ","مذكرة الائتمان # "
"Credit Memo #","مذكرة الائتمان #"
"Credit Memo Email Template","مذكرة الائتمان نموذج البريد الالكتروني"
"Credit Memo email sent","مذكرة الائتمان ارسال البريد الالكتروني"
"Credit Memo Email Template for Guest","مذكرة البريد الالكتروني الائتمان نموذج للضيف"
"Credit Memo Comment Email Template","مذكرة التعليق الائتمان نموذج البريد الالكتروني"
"New Credit Memo","مذكرة ائتمانية جديدة"
"New Credit Memo for Guest","مذكرة ائتمانية جديدة للزائر"
"Credit Memo void error","مذكرة باطلة خطا الائتمان"
"Shipment Email Sender","مرسل البريد الالكتروني للشحنه"
"Document","مستند"
"Pending","معلقة"
"Processing data problem","معالجة مشكلة البيانات"
"Closed","مغلق"
"Void","Void"
"Orders was successfully put on hold","أوامر تم بنجاح وضع الانتظار"
"Adjustment Fee","أجر الضبط"
"Adjustment Fee:","أجر الضبط:"
"To","إلى"
"To Name","إلى اسم"
"To:","إلى:"
"Cancel","إلغاء"
"Create","إنشاء"
"Create Shipment","إنشاء شحن"
"Create New Order","إنشاء طلب شراء جديد"
"Create New Order for %s","إنشاء طلب شراء جديد لـ %s"
"Create New Order for %s in %s","إنشاء طلب شراء جديد لـ %s في %s"
"Create New Order for New Customer","إنشاء طلب شراء جديد لعميل جديد"
"Create New Order for New Customer in %s","إنشاء طلب شراء جديد لعميل جديد في %s"
"Create New Customer","إنشاء عميل جديد"
"Submit Invoice","إرسال فاتورة"
"Send Tracking Information","إرسال بيانات التعقب"
"Submit Comment","إرسال تعليق"
"Submit Order","إرسال طلب الشراء"
"Remove","إزالة"
"Remove Coupon Code","إزالة كود الكوبون"
"Add","إضافة"
"Add Product","إضافة منتج"
"Add to Cart","إضافة إلى عربة التسوق"
"Add Tracking Number","إضافة رقم تعقب"
"Add New Address","إضافة عنوان جديد"
"Notify Customer","إعلام العميل"
"Actions","افعال"
"Orders","اوامر"
"Items Ordered","اوامر العناصر"
"My Orders","اوامري"
"My Orders - Details","اوامري- تفاصيل"
"Item Status","اوضاع العناصر"
"Amount","الكمية"
"Paid Amount","الكمية المدفوعة"
"Carrier","الناقل"
"New Order Confirmation Email Sender","النظام الجديد تأكيد البريد الألكتروني المرسل"
"Telephone","الهاتف"
"Website","الموقع"
"Product","المنتج"
"Products","المنتجات"
"Products in Compare List","المنتجات في قائمة المقارنة"
"Recently Compared Products","المنتجات المقارنة حديثا"
"Recently Viewed Products","المنتجات المشاهدة حديثا"
"Sales","المبيعات"
"Grand Total","المجموع الكلي"
"Grand Total to be charged","المجموع الكلي التي ستحمل "
"Grand Total:","المجموع الكلي:"
"Subtotal","المجموع الاصلي"
"Store Credit","المخزن الائتماني"
"Creditmemos","المذكرات الائتمانية"
"Creditmemo","المذكرة الائتمانية"
"Credit Memos","المذكرة الائتمانية"
"Recently Viewed","المشاهد حديثا"
"Processing","المعالجة"
"Orders was unholded","الاوامر كانت غير منتظرة"
"Recent Orders","الاوامر الحالية"
"Credit Memo Email Sender","الائتمان مذكرة البريد الالكتروني للمرسل"
"First Name","الاسم الأول"
"Subscribe to Newsletter","الاشتراك في القائمة البريدية"
"Newsletter Subscription","الاشتراك بالقائمة البريدية"
"Item qty declare error","البند qty يعلن خطأ"
"Email","البريد الإلكتروني"
"Invoice Email Template for Guest","البريد الالكتروني فاتوره نموذج للضيف"
"Order Comment Email Template","البريد الالكتروني للقالب في البريد الالكتروني"
"Credit Memo email not sent","البريد الالكتروني للمذكرة الائتمانية لم ترسل"
"Sales Emails","البريد الالكتروني للبيع"
"Order Comment Email Sender","البريد الالكتروني المرسل من اجل التعليق"
"Signed Up From","التوقيع من"
"Date","التاريخ"
"Shipment Comment Email Template","التعليق قالب شحن البريد الالكتروني"
"Credit Memo Comment Email Sender","التعليق الائتمان مذكرة البريد الالكتروني للمرسل"
"Credit Memo Comment Email Template for Guest","التعليق الائتمان مذكرة البريد الالكتروني نموذج للضيف"
"Shipment Comment Email Sender","التعليق شحن البريد الالكتروني للمرسل"
"Shipment Comment Email Template for Guest","التعليق شحن البريد الالكتروني نموذج للضيف"
"Status","الحالة"
"Get shipping methods and rates","الحصول على طرق ومعدلات الشحن"
"Checkout totals sort order","الخروج المجاميع الترتيب"
"Country","الدولة"
"ZIP/Post Code","الرقم البريدي"
"ID","الرمز التعريفي"
"Back to My Orders","الرجوع الى اوامري"
"Allow Reorder","السماح باعادة الامر"
"Price","السعر"
"Original Price","السعر الاساسي"
"Shipping &amp; Handling Information","الشحن &amp; معلومات التسليم"
"Shipping &amp; Handling","الشحن &amp; التسليم"
"Shipping & Handling","الشحن و التسليم"
"Shipping & Handling:","الشحن و التسليم:"
"Tax","الضريبة"
"Tax :","الضريبة :"
"Title","العنوان"
"The item %s (SKU %s) doesn't exist in the catalog anymore","العنصر %s (SKU %s) لا وجود بعد الآن في الكاتالوج"
"You have placed no orders.","انت لم تضع اي اوامر."
"Created At","انشئت في "
"Reorder","امر"
"Order # %s | Order Date %s","امر # %s | تاريخ الامر %s"
"Order Total","امر المجموع"
"Order Subtotal","امر المجموع الفرعي"
"Order Subtotal:","امر المجموع الفرعي:"
"Order Grand Total","امر المجموع الكلي"
"Order Totals","امر المجموعات"
"Order History","امر التاريخ"
"Order Date","امر التاريخ"
"Order Date: ","امر التاريخ: "
"Order Date: %s","امر التاريخ: %s"
"Order Currency:","امر العملة:"
"Email Order Confirmation","امر تاكيد البريد الالكتروني"
"Order Comment Email Template for Guest","امر تعليق قالب البريد الالكتروني للزائر"
"New Order RSS","امر جديد RSS"
"New Order for Guest","امر جديد للزائر"
"Order saving error: %s","امر حفظ الخطاء: %s"
"Ordered","امرت"
"On Hold","امساك"
"Hold","امساك"
"Credit Memo total must be positive.","اجمالي الائتمان المذكره يجب ان تكون ايجابية."
"Select from existing customer addresses:","اختر من القائمة عناوين العملاء:"
"Last ordered items","اخر اوامر العناصر"
"Append Comments","ارفاق التعليقات"
"Tracking Number(s)","ارقام المتابعة"
"Invoice email sent","ارسلت فاتورة البريد الالكتروني"
"Send Invoice Email Copy To","ارسال نسخة فاتورة بالبريد الالكتروني الى"
"Send Credit Memo Comment Email Copy To","ارسال نسخة ملاحظة مذكرة ائتمانية للبريد الالكتروني "
"Send Shipment Email Copy To","ارسال نسخة الى شحن البريد الالكتروني"
"Send Order Email Copy To","ارسال نسخة امر بالبريد الالكتروني الى"
"Send Invoice Comment Email Copy To","ارسال الفاتوره الى التعليق على نسخة البريد الالكتروني"
"Submit Credit Memo","ارسال المذكرة الائتمانية"
"Submit Shipment","ارسال الشحنه"
"Send Credit Memo Email Copy To","ارسال بريد الكتروني الائتمان المذكره نسخة إلي"
"Send Shipment Comment Email Copy To","ارسال شحنة التعليق على نسخة البريد الالكتروني"
"Product Name","اسم المنتج"
"Customer Name","اسم العميل"
"Last Name","اسم العائلة"
"Items Refunded","استرداد البنود"
"Capture","اسر"
"Capture Amount","اسر الكمية"
"Capture Offline","اسر خارج الشبكة"
"Capture Online","اسر داخل الشبكة"
"Notified","اشعار"
"Add Order Comments","اضف ملاحظة الامر"
"Add Selected Product(s) to Order","اضف المنتج المختار الى الامر"
"Add To Order","اضف الى الامر"
"Add a gift message for <strong>each gift item</strong>","اضف رسالة هدية لل  <strong>لاي عنصر هدية</strong>"
"Add a gift message for the <strong>entire order</strong>","اضف رسالة الهدية الى ال  <strong>الامر الكامل</strong>"
"Edit Order #%s","اضافة امر #%s"
"Click to change shipping method","اضغط لتغيير طريقة الشحن"
"Returned","اعادة"
"Adjustment Refund","اعادة التكيف"
"Adjustment Refund:","اعادة التكيف:"
"Information","بيانات"
"Account Information","بيانات الحساب"
"Payment Information","بيانات الدفع"
"Shipping Information","بيانات الشحن"
"Order Information","بيانات طلب الشراء"
"Total Due","بسبب المجموع"
"Some items have quantities exceeding allowed quantities. Please select a lower quantity to checkout.","بعض الاصناف بكميات تتجاوز الكميات المسموح. الرجاء تحديد الكميه الى اقل الخروج."
"Order Details","تفاصيل طلب الشراء"
"Complete","تكملة"
"Order was successfully put on hold.","تم وضع الامر في الامساك بنجاح."
"Order was placed using %s","تم وضع الامر باستخدام %s"
"Invoice was successfully canceled.","تم إلغاء الفاتورة بنجاح."
"Order was successfully cancelled.","تم إلغاء طلب الشراء بنجاح."
"Invoice was successfully created.","تم إنشاء الفاتورة بنجاح."
"Canceled","تم الإلغاء"
"Refunded","تم الرد"
"Shipped","تم الشحن"
"Shipped By","تم الشحن بواسطة"
"Credit Memo was successfully canceled.","تم الغاء المذكرة الائتمانية بنجاح."
"Orders was canceled","تم الغاء الامر"
"Credit Memo was successfully created","تم انشاء المذكرة الائتمانية بنجاح"
"Shipment was successfully created.","تم انشاء الشحنه بنجاح."
"Credit Memo was successfully voided","تم ابطال المذكرة الائتمانية بنجاح"
"Shipment email sent","تم ارسال البريد الالكتروني للشحنه "
"Shipment was successfully sent.","تم ارسال الشحنه بنجاح."
"Invoice was successfully captured","تم اسر الفاتورة بنجاح"
"Order was successfully released from holding status.","تم بنجاح من اجل اطلاق سراحهم من عقد المركز."
"Invoice was successfully voided","تم تعطيل الفاتورة بنجاح"
"New Order Confirmation Template","تأكيد نموذج النظام الجديد"
"New Order Confirmation Template for Guest","تأكيد نموذج النظام الجديد للضيف"
"Invoice Date","تاريخ الفاتورة"
"Comments History","تاريخ التعليقات"
"Date Shipped","تاريخ الشحن"
"Refresh","تحديث"
"Update Qty's","تحديث Qty's"
"Invoice Update","تحديث الفاتورة"
"Invoice Update for Guest","تحديث الفاتورة للزائر"
