" The customer doesn't exist in the system anymore"," العميل غير موجود في النظام بعد الان"
"""%s"" coupon code is not valid.","""%s"" كود الكوبون غير صحيح."
"%s / %s rate:","%s / %s rate:"
"%s for %s","%s for %s"
"%s order(s) successfully canceled","%s order(s) successfully canceled"
"%s order(s) successfully put on hold","%s تم وضع الامر في الامساك بنجاح"
"%s order(s) successfully released from holding status","%s order(s) successfully released from holding status"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"* - Enter custom price including tax","* - Enter custom price including tax"
"About This Order:","عن هذا الامر:"
"About Your Order","عن امرك"
"Account Information","بيانات الحساب"
"Action","فعل"
"Actions","افعال"
"Add","إضافة"
"Add Gift Messsage","Add Gift Messsage"
"Add New Address","إضافة عنوان جديد"
"Add Order Comments","اضف ملاحظة الامر"
"Add Products","Add Products"
"Add Selected Product(s) to Option","Add Selected Product(s) to Option"
"Add Selected Product(s) to Order","اضف المنتج المختار الى الامر"
"Add To Order","اضف الى الامر"
"Add Tracking Number","إضافة رقم تعقب"
"Add a gift message for <strong>each gift item</strong>","اضف رسالة هدية لل  <strong>لاي عنصر هدية</strong>"
"Add a gift message for the <strong>entire order</strong>","اضف رسالة الهدية الى ال  <strong>الامر الكامل</strong>"
"Add comment to order","Add comment to order"
"Add new comment to shipment","Add new comment to shipment"
"Add new tracking number","Add new tracking number"
"Add to Cart","إضافة إلى عربة التسوق"
"Address","عنوان"
"Adjustment Fee","أجر الضبط"
"Adjustment Fee:","أجر الضبط:"
"Adjustment Refund","اعادة التكيف"
"Adjustment Refund:","اعادة التكيف:"
"Allow Reorder","السماح باعادة الامر"
"Amount","الكمية"
"Append Comments","ارفاق التعليقات"
"Apply","تطبيق"
"Apply Coupon Code","تطبيق كود الكوبون"
"Are you sure you want to cancel this order?","هل أنت متأكد أنك تريد إلغاء طلب الشراء هذا؟"
"Are you sure?","هل أنت متأكد؟"
"Are you sure? This order will be cancelled and a new one will be created instead","هل أنت متأكد؟ سيتم إلغاء هذا الطلب وإنشاء طلب شراء جديد بدلا عنه"
"Back to My Orders","الرجوع الى اوامري"
"Backordered","رجوع الامر"
"Bill to First name","فاتورة بالسم الاول"
"Bill to Last name","فاتورة بالاسم الاخير"
"Bill to Name","فاتورة بالاسم"
"Billing Address","عنوان الفاتورة"
"Buy %s for price %s","Buy %s for price %s"
"Can not add order history.","لا يمكن اضافة تاريخ الامر."
"Can not create block ""%s""","لا يمكن انشاء مساحة ""%s"""
"Can not do invoice for order.","Can not do invoice for order."
"Can not do shipment for order.","لا يمكن شحن الامر."
"Can not register existing creditmemo","لا يمكن تسجيل الإئتمان القائمة المذكره"
"Can not register existing invoice","لا يمكن التسجيل للفاتورة الموجوده"
"Can not register existing shipment","لا يمكن التسجيل في الشحنع الموجوده"
"Can't get order instance","لا يمكن ان تحصل من اجل المثال"
"Cancel","إلغاء"
"Cancel invoice","Cancel invoice"
"Cancel order","Cancel order"
"Canceled","تم الإلغاء"
"Cannot create an empty shipment.","Cannot create an empty shipment."
"Capture","اسر"
"Capture Amount","اسر الكمية"
"Capture Offline","اسر خارج الشبكة"
"Capture Online","اسر داخل الشبكة"
"Capture invoice","Capture invoice"
"Carrier","الناقل"
"Change Status","تغيير الحالة"
"Change status, add comments","Change status, add comments"
"Checkout totals sort order","الخروج المجاميع الترتيب"
"Click to change shipping method","اضغط لتغيير طريقة الشحن"
"Closed","مغلق"
"Comment","تعليق"
"Comment Text","نص التعليق"
"Comments","Comments"
"Comments History","تاريخ التعليقات"
"Complete","تكملة"
"Country","الدولة"
"Coupons","كوبونات"
"Create","إنشاء"
"Create New Customer","إنشاء عميل جديد"
"Create New Order","إنشاء طلب شراء جديد"
"Create New Order for %s","إنشاء طلب شراء جديد لـ %s"
"Create New Order for %s in %s","إنشاء طلب شراء جديد لـ %s في %s"
"Create New Order for New Customer","إنشاء طلب شراء جديد لعميل جديد"
"Create New Order for New Customer in %s","إنشاء طلب شراء جديد لعميل جديد في %s"
"Create Shipment","إنشاء شحن"
"Create new invoice for order","Create new invoice for order"
"Create new shipment for order","Create new shipment for order"
"Created At","انشئت في "
"Credit Memo","مذكرة الائتمان"
"Credit Memo #","مذكرة الائتمان #"
"Credit Memo # ","مذكرة الائتمان # "
"Credit Memo Comment Email Sender","التعليق الائتمان مذكرة البريد الالكتروني للمرسل"
"Credit Memo Comment Email Template","مذكرة التعليق الائتمان نموذج البريد الالكتروني"
"Credit Memo Comment Email Template for Guest","التعليق الائتمان مذكرة البريد الالكتروني نموذج للضيف"
"Credit Memo Comments","ملاحظات المذكرة الائتمانية"
"Credit Memo Email Sender","الائتمان مذكرة البريد الالكتروني للمرسل"
"Credit Memo Email Template","مذكرة الائتمان نموذج البريد الالكتروني"
"Credit Memo Email Template for Guest","مذكرة البريد الالكتروني الائتمان نموذج للضيف"
"Credit Memo Update","تحديث المذكرة الائتمانية"
"Credit Memo Update for Guest","تحديث المذكرة الائتمانية للضيف"
"Credit Memo email not sent","البريد الالكتروني للمذكرة الائتمانية لم ترسل"
"Credit Memo email sent","مذكرة الائتمان ارسال البريد الالكتروني"
"Credit Memos","المذكرة الائتمانية"
"Creditmemo","المذكرة الائتمانية"
"Custom Options","Custom Options"
"Custom Price","Custom Price"
"Custom Value","قيمة مخصصة"
"Customer","Customer"
"Customer Group","مجموعة العملاء"
"Customer Name","اسم العميل"
"Customer's Current Activities","Customer's Current Activities"
"Date","التاريخ"
"Date Shipped","تاريخ الشحن"
"Date of Birth","Date of Birth"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)"
"Delete","حذف"
"Description message","Description message"
"Discount","خصم"
"Discount ","خصم "
"Discount (%s)","خصم (%s)"
"Discount :","خصم :"
"Discount Amount","كمية الخصم"
"Discount%s","Discount%s"
"Display Order ID in Header","Display Order ID in Header"
"Document","مستند"
"Edit","تحرير"
"Edit Gift Messsage","Edit Gift Messsage"
"Edit Order #%s","اضافة امر #%s"
"Email","البريد الإلكتروني"
"Email Copy of Credit Memo","نسخة البريد الالكتروني للمذكرة الائتمانية"
"Email Copy of Invoice","نسخة البريد الالكتروني للفاتورة"
"Email Copy of Shipment","نسخة البريد الالكتروني للشحنه"
"Email Order Confirmation","امر تاكيد البريد الالكتروني"
"Enable","Enable"
"Enabled","Enabled"
"Error to show in shopping cart","Error to show in shopping cart"
"Excl. Tax","Excl. Tax"
"From","من"
"From Name","من الاسم"
"From:","من:"
"G.T. (Base)","G.T. (قاعدة)"
"G.T. (Purchased)","G.T. (اشتري)"
"Get shipping methods and rates","الحصول على طرق ومعدلات الشحن"
"Gift","هدية"
"Gift Certificate","شهادة هدية"
"Gift Message","رسالة هدية"
"Gift Message for Entire Order","رسالة هدية لكل طلب الشراء"
"Gift Message for this Order","رسالة هدية لطلب الشراء هذا"
"Grand Total","المجموع الكلي"
"Grand Total to be charged","المجموع الكلي التي ستحمل "
"Grand Total:","المجموع الكلي:"
"Guest","زائر"
"Hold","امساك"
"Hold action is not available","فعل الامساك ليس مسموح"
"Hold order","Hold order"
"ID","الرمز التعريفي"
"If empty, the default description above will be used","If empty, the default description above will be used"
"If empty, the default error above will be used","If empty, the default error above will be used"
"Incl. Tax","Incl. Tax"
"Information","بيانات"
"Invalid carrier specified.","Invalid carrier specified."
"Invalid item option format","Invalid item option format"
"Invalid qty to invoice item ""%s""","Qty الفاتوره غير صالحة لهذا البند ""%s"""
"Invalid qty to refund item ""%s""","Qty غير صالحة لاعادة البند ""%s"""
"Invalid qty to ship for item ""%s""","Qty الى السفينة غير صالحة للالبند ""%s"""
"Invalid renderer model","Invalid renderer model"
"Invalid request for adding product to quote","Invalid request for adding product to quote"
"Invoice","فاتورة"
"Invoice #","فاتورة #"
"Invoice # ","فاتورة # "
"Invoice #%s","فاتورة #%s"
"Invoice Comment Email Sender","فاتوره التعليق البريد الالكتروني للمرسل"
"Invoice Comment Email Template","فاتوره التعليق قالب البريد الالكتروني"
"Invoice Comment Email Template for Guest","فاتوره التعليق البريد الالكتروني نموذج للضيف"
"Invoice Comments","تعليقات الفاتورة"
"Invoice Date","تاريخ الفاتورة"
"Invoice Email Sender","فاتورة البريد الالكتروني المرسل"
"Invoice Email Template","فاتورة قالب البريد الالكتروني"
"Invoice Email Template for Guest","البريد الالكتروني فاتوره نموذج للضيف"
"Invoice Update","تحديث الفاتورة"
"Invoice Update for Guest","تحديث الفاتورة للزائر"
"Invoice and Packing Slip Design","Invoice and Packing Slip Design"
"Invoice can not be canceled","Invoice can not be canceled"
"Invoice can not be captured","Invoice can not be captured"
"Invoice can not be void","Invoice can not be void"
"Invoice cancel problem","Invoice cancel problem"
"Invoice capture problem","Invoice capture problem"
"Invoice email not sent","فاتوره لم ترسل البريد الألكتروني"
"Invoice email sent","ارسلت فاتورة البريد الالكتروني"
"Invoice void problem","Invoice void problem"
"Invoiced","فاتورة"
"Invoices","فواتير"
"Item","سلعة"
"Item Status","اوضاع العناصر"
"Item object is not specified.","Item object is not specified."
"Item option with code %s already exist","Item option with code %s already exist"
"Item options declare error","Item options declare error"
"Item ordered qty","Item ordered qty"
"Item qty declare error","البند qty يعلن خطأ"
"Items Invoiced","فاتورة العناصر"
"Items Ordered","اوامر العناصر"
"Items Refunded","استرداد البنود"
"Items Shipped","شحن البنود"
"Items options declare error.","Items options declare error."
"Items to Invoice","عناصر للفواتير"
"Items to Refund","عناصر للاسترداد"
"Items to Ship","عناصر للشحن"
"Last ordered items","اخر اوامر العناصر"
"Link to the new order","رابطة للامر الجديد"
"Link to the previous order","رابطة للامر القديم"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)"
"Logo for HTML print view","Logo for HTML print view"
"Logo for PDF print-outs (200x50)","Logo for PDF print-outs (200x50)"
"Message","رسالة"
"Message:","رسالة:"
"Minimum amount","Minimum amount"
"Minimum order amount","Minimum order amount"
"Mixed","مختلط"
"Move to Shopping Cart","Move to Shopping Cart"
"Move to Wishlist","Move to Wishlist"
"Multi-address description message","Multi-address description message"
"Multi-address error to show in shopping cart","Multi-address error to show in shopping cart"
"My Orders","اوامري"
"My Orders - Details","اوامري- تفاصيل"
"Name","Name"
"New","جديد"
"New Credit Memo","مذكرة ائتمانية جديدة"
"New Credit Memo for Guest","مذكرة ائتمانية جديدة للزائر"
"New Invoice","فاتورة جديدة"
"New Invoice for Guest","فاتورة جديدة لزائر"
"New Order","طلب شراء جديد"
"New Order Confirmation Email Sender","النظام الجديد تأكيد البريد الألكتروني المرسل"
"New Order Confirmation Template","تأكيد نموذج النظام الجديد"
"New Order Confirmation Template for Guest","تأكيد نموذج النظام الجديد للضيف"
"New Order RSS","امر جديد RSS"
"New Order for Guest","امر جديد للزائر"
"New Shipment","شحن جديد"
"New Shipment for Guest","شحن جديد لزائر"
"New Status","حالة جديدة"
"Newsletter Subscription","الاشتراك بالقائمة البريدية"
"No Items","No Items"
"No Items To Refund","No Items To Refund"
"No Payment Methods","لا يوجد طرق للدفع"
"No detail for number ""%s""","لا توجد تفاصيل للرقم""%s"""
"No items","لا يوجد سلع"
"No ordered items","No ordered items"
"No shipping information available","No shipping information available"
"Not Capture","غير اسرة"
"Not Notified","Not Notified"
"Notified","اشعار"
"Notify Customer","إعلام العميل"
"Number","رقم"
"On Hold","امساك"
"Order","طلب الشراء"
"Order #","طلب الشراء #"
"Order # ","طلب الشراء # "
"Order # %s","طلب الشراء # %s"
"Order #%s","طلب الشراء #%s"
"Order #%s - %s","طلب الشراء #%s - %s"
"Order API","Order API"
"Order Comment","ملاحظة الامر"
"Order Comment Email Sender","البريد الالكتروني المرسل من اجل التعليق"
"Order Comment Email Template","البريد الالكتروني للقالب في البريد الالكتروني"
"Order Comment Email Template for Guest","امر تعليق قالب البريد الالكتروني للزائر"
"Order Comments","ملاحظات الامر"
"Order Credit Memos","Order Credit Memos"
"Order Currency:","امر العملة:"
"Order Date","امر التاريخ"
"Order Date (%s)","Order Date (%s)"
"Order Date: ","امر التاريخ: "
"Order Date: %s","امر التاريخ: %s"
"Order Details","تفاصيل طلب الشراء"
"Order Grand Total","امر المجموع الكلي"
"Order History","امر التاريخ"
"Order Information","بيانات طلب الشراء"
"Order Invoices","Order Invoices"
"Order Shipments","Order Shipments"
"Order Status","حالة طلب الشراء"
"Order Subtotal","امر المجموع الفرعي"
"Order Subtotal:","امر المجموع الفرعي:"
"Order Total","امر المجموع"
"Order Totals","امر المجموعات"
"Order Update","تحديث طلب الشراء"
"Order Update for Guest","تحديث طلب الشراء لزائر"
"Order View","عرض طلب الشراء"
"Order invoice","Order invoice"
"Order object is not specified.","Order object is not specified."
"Order saving error: %s","امر حفظ الخطاء: %s"
"Order shipments","Order shipments"
"Order was not cancelled.","لم يتم إلغاء طلب الشراء."
"Order was not put on hold.","لم يتم وضع الامر في الامساك."
"Order was not unholded.","لم يتم وضع الامر في الامساك."
"Order was placed using %s","تم وضع الامر باستخدام %s"
"Order was successfully cancelled.","تم إلغاء طلب الشراء بنجاح."
"Order was successfully put on hold.","تم وضع الامر في الامساك بنجاح."
"Order was successfully released from holding status.","تم بنجاح من اجل اطلاق سراحهم من عقد المركز."
"Ordered","امرت"
"Orders","اوامر"
"Original Price","السعر الاساسي"
"PDF Credit Memos","PDF مذكرات ائتمانية"
"PDF Invoices","PDF فواتير"
"PDF Packingslips","PDF زلة تعبئة"
"PDF Print-outs","PDF Print-outs"
"PDF object is not specified.","PDF object is not specified."
"PDF page object is not specified.","PDF page object is not specified."
"Packingslip # ","زلة التعبئة # "
"Paid","مدفوع"
"Paid Amount","الكمية المدفوعة"
"Partial","جزئي"
"Payment Failed","Payment Failed"
"Payment Information","بيانات الدفع"
"Payment Method","طريقة الدفع"
"Payment Method:","Payment Method:"
"Pending","معلقة"
"Pending PayPal","Pending PayPal"
"Pending Payment","Pending Payment"
"Placed from IP","Placed from IP"
"Please enter positive number in this field.","Please enter positive number in this field."
"Please select a customer","من فضلك اختر عميلا"
"Please select a store","من فضلك اختر متجرا"
"Please select products to add","من فضلك اختر منتجات لإضافتها"
"Price","السعر"
"Print","طباعة"
"Print All","طباعة الكل"
"Print All Invoices","طباعة كل الفواتير"
"Print All Refunds","طباعة جميع الردود"
"Print All Shipments","طباعة جميع الشحنات"
"Print Credit Memos","طباعة المذكرة الائتمانية"
"Print Invoice","طباعة الفاتورة"
"Print Invoices","طباعة الفواتير"
"Print Order","طباعة طلب الشراء"
"Print Order # %s","طباعة طلب الشراء # %s"
"Print Packingslips","طباعة زلة التعبئة"
"Print Refund","طباعة الاسترداد"
"Print Shipment","طباعة الشحنة"
"Processing","المعالجة"
"Processing data problem","معالجة مشكلة البيانات"
"Product","المنتج"
"Product Name","اسم المنتج"
"Products","المنتجات"
"Products in Compare List","المنتجات في قائمة المقارنة"
"Purchased From","شراؤها من"
"Purchased On","تشتري على"
"Purchased from (store)","شراؤها من (المخزن)"
"QTY","QTY"
"Qty","Qty"
"Qty Invoiced","Qty فاتورة"
"Qty Ordered","Qty امر"
"Qty Shipped","Qty شحنه"
"Qty To Add","Qty للاضافة"
"Qty to Invoice","Qty للفاتورة"
"Qty to Refund","Qty to Refund"
"Qty to Ship","Qty to Ship"
"Recent Orders","الاوامر الحالية"
"Recently Compared Products","المنتجات المقارنة حديثا"
"Recently Viewed","المشاهد حديثا"
"Recently Viewed Products","المنتجات المشاهدة حديثا"
"Refresh","تحديث"
"Refund","رد"
"Refund #","رد #"
"Refund #%s","رد #%s"
"Refund Amount","كمية الرد"
"Refund Offline","رد خارج الشبكة"
"Refund Shipping","Refund Shipping"
"Refund Totals","Refund Totals"
"Refunded","تم الرد"
"Refunds","ردود"
"Remove","إزالة"
"Remove Coupon Code","إزالة كود الكوبون"
"Remove tracking number","Remove tracking number"
"Reorder","امر"
"Retrieve invoice info","Retrieve invoice info"
"Retrieve invoice information","Retrieve invoice information"
"Retrieve list of invoices by filters","Retrieve list of invoices by filters"
"Retrieve list of orders by filters","Retrieve list of orders by filters"
"Retrieve list of shipments by filters","Retrieve list of shipments by filters"
"Retrieve order information","Retrieve order information"
"Retrieve orders info","Retrieve orders info"
"Retrieve shipment info","Retrieve shipment info"
"Retrieve shipment information","Retrieve shipment information"
"Return to Stock","Return to Stock"
"Returned","اعادة"
